event_id,date,year,month,theater_standard,theater_raw,air_force,command_or_task_force,sub_region,mission_number,aircraft_models,has_claims,has_losses,has_casualties,event_text
EVT_19430410_00095,1943-04-10,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Italy,,B-24,0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Italy, B-24's bomb the harbor at Naples. In Sicily, RAF Liberators, under operation control of the IX Bomber Command, hit Palermo. In Tunisia, Allied ground forces take Sfax and continue N to La Hencha. HQ IX Fighter Command is transferred from Egypt to Tripoli, Libya. Personnel are to be moved from Egypt over a period of several weeks."
EVT_19430410_00096,1943-04-10,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Eleventh Air Force,,Sardinia,,"WELLINGTON, B-26, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Sardinia, B-17's hit ships at La Madallena. In Tunisia during the night of 9/10 Apr, Wellingtons bomb troops and transport on roads in the area surrounding Enfidaville. The following day, B-26's follow up the Wellingtons with raids on roads and military concentrations near Enfidaville. Fighter-bombers also hit ground targets in the Enfidaville areas. Fighters escort bombers, carry out reconnaissance, and fly sweeps over the battle area from Medjez el Rah to Sousse."
EVT_19430411_00100,1943-04-11,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Italy,,"B-25, B-24",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Italy, B-24's attack Naples harbor. AA is intense and fighters attack B-24's from all sides, knocking 1 down. The B-24's claim destruction of 3 fighters. In Tunisia, B-25's attack motor transport and concentrations N of Sfax as Allied ground troops push toward Sousse. HQ 340th Bombardment Group (Medium) and it's 486th and 487th Bombardment Squadrons (Medium) with B-25C's transfer from El Kabrit, Egypt to Medenine, Tunisia."
EVT_19430411_00101,1943-04-11,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Eleventh Air Force,,Sardinia,,"WELLINGTON, B-26, P-38, B-25, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Sardinia during the night of 10/11 Apr, Wellingtons bomb airfields at Decimomannu and Monserrato. In Sicily, B-17's strike the harbors of Marsala and Trapani. In Tunisia, P-38's carry out fighter sweeps and reconnaissance flights, claiming numerous aircraft shot down, including 21 transports destroyed between Cap Bon and Marsala. B-26's bomb Oudna Airfield, B-25's hit Sainte-Marie du Zit Airfield, and B-17's strike the harbor of Tunis. Fighter-bombers and light bombers blast trucks S of the Enfidaville road, trucks E of Kairouan, the Sousse docks, and numerous other targets in the NE quarter of Tunisia."
EVT_19430412_00109,1943-04-12,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Italy,,B-24,0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Italy, B-24's of the 376th Bombardment Group (Heavy) sent to attack Naples harbor, are prevented by bad weather from bombing the primary target. About half return without bombing while the others hit Cosenza and Crotone. Other heavy bombers of the same group, in a subsequent mission, bomb Naples and the secondary target of Pizzo. In Sicily, RAF Liberators, under operational control of the IX Bomber Command, are dispatched against Palermo. The primary target is attacked, in spite of total cloud cover, but most of bomb tonnage is dropped in Messina, Italy harbor. In ground action in Tunisia, the British 10 Corps captures Sousse and heads north."
EVT_19430412_00110,1943-04-12,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Eighth Air Force,,Sicily,,"SPITFIRE, A-20, P-51, P-39, B-25, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Sicily, B-17's bomb the harbor at Trapani and hit shipping in the Straits of Sicily. In Tunisia, B-17's bomb the harbor at Bizerte. B-25's and A-20's bomb airfields at Oudna and Sainte-Made du Zit. Aircraft of tactical units hit enemy movements and fly sweep and reconnaissance throughout NE Tunisia following the attack during the night of 11/12 Apr by British aircraft, mainly in the Enfidaville, Zaghouan, and Bou Ficha areas. HQ 31st Fighter Group and it's 307th, 308th and 309th Fighter Squadrons with Spitfires transfer from Djilma, Tunisia to Le Sers, Tunisia. HQ 33d Fighter Group and it's 59th and 60th Fighter Squadrons with P- 40's transfer from Berteaux, Algeria to Ebba Ksour, Tunisia. The 59th has been operating from Thelepte, Tunisia since 20 Mar. The 2d, 4th and 5th Fighter Squadrons, 52d Fighter Group with Spitfires transfer from Youks-les-Bains, Algeria to Le Sers, Tunisia. The 154th Observation Squadron, 68th Observation Group with P-39's and P-51's transfers from Sbeitla, Tunisia to Le Sers, Tunisia."
EVT_19430414_00123,1943-04-14,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,P-40,0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, P-40's fly convoy escort, and carry out fighter sweeps over the battle area as the British Eighth Army's 10 Corps continues to make quick jabs at positions at Enfidaville. These attempts to force an enemy retreat are unsuccessful. The 314th, 315th and 316th Fighter Squadrons, 324th Fighter Group with P-40's transfer from Libya to Tunisia."
EVT_19430414_00124,1943-04-14,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,,,Sardinia,,"A-20, P-38, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Sardinia, B-17's bomb the Elmas and Monserrato Airfields. In Tunisia during the night of 13/14 Apr, Northwest African Tactical Air Force (NATAF) Hurricanes and Blenheims bomb La Sebala Airfield and attack transport on the Tunis-Pont-du-Fahs road, and Western Desert Air Force (WDAF) light and medium bombers hit the Airfields at Sainte-Marie du Zit and Korba. During the day, B-17's bomb El Aouina Airfield. P-38's escort the heavy bombers and fly a bombing and strafing mission against a beached vessel SE of Cape Zebib. A-20's bomb Bordj Toum. Fighter-bombers hit a motor convoy near Grich el Oued and trucks NE of Dechret Ben Saidane and a battery E of Djedeida. Fighters fly reconnaissance and sweeps throughout the Tunisian battle area. Northwest African Coastal Air Force (NACAF) planes maintain sea reconnaissance and patrols. HQ 52d Fighter Group transfers from Youks-les-Bains, Algeria to Le Sers, Tunisia. The 441st, 442d and 444th Bombardment Squadrons (Medium), 320th Bombardment Group (Medium) with B-26B's transfer from Tafaraoui, Algeria to Montesquieu, Algeria."
EVT_19430415_00128,1943-04-15,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Italy,,"B-25, P-40, B-24",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Italy, RAF Liberators, under operational control of the IX Bomber Command, hit Naples and Messina. In Sicily, B-24's attack Catania and Palermo. In Tunisia, B-25's hit the airfield and area near a fuel dump at Sainte-Marie du Zit. P-40's fly reconnaissance and sea patrol. HQ 12th Bombardment Group (Medium) transfers from Medenine, Tunisia to Sfax, Tunisia. The 515th Bombardment Squadron (Heavy), 376th Bombardment Group (Heavy) with B-24D's transfers from Soluch, Libya to Bengasi, Libya."
EVT_19430416_00136,1943-04-16,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Sicily,,"B-25, B-24",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Sicily, B-24's attack a tanker in Catania harbor, scoring several hits on the target and in surrounding areas. In Tunisia, fighters fly sea patrol. The British Eighth Army abandons their attempts to force a German retreat from Enfidaville by quick jabs and prepares to launch a full-scale assault during the night of 19/20 Apr. The 83d Bombardment Squadron (Medium), 12th Bombardment Group (Medium) and 488th Bombardment Squadron (Medium), 340th Bombardment Group (Medium), both with B-25's, transfer from Medenine, Tunisia to Sfax, Tunisia. The 512th and 513th Bombardment Squadrons (Heavy), 376th Bombardment Group (Heavy) with B-24's transfer from Soluch, Libya to Bengasi, Libya;."
EVT_19430417_00143,1943-04-17,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Sicily,,"B-25, P-40, B-24",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Sicily, B-24's (including Liberator Mk II's of the RAF 178 Squadron, under operational control of the IX Bomber Command) bomb Catania. In Tunisia, P-40's fly sweeps, sea patrol, and fighter-bomber missions. HQ 340th Bombardment Group (Medium) and it's 486th and 487th Bombardment Squadrons (Medium) with B-25's and the 434th Bombardment Squadron (Medium), 12th Bombardment Group (Medium) with B-25's transfer from Medenine, Tunisia to Sfax, Tunisia."
EVT_19430417_00144,1943-04-17,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Eighth Air Force,,Sicily,,"WELLINGTON, A-20, B-25, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Sicily, B-17's bomb shipping and docks at Palermo. In Tunisia during the night of 16/17 April, Northwest African Strategic Air Force (NASAF) Wellington's bomb the N quay in Bizerte harbor. Shortly after noon, B-17's bomb shipping and docks at Ferryville. B-25's hit  the town area and marshaling yard at Mateur. Fighters provide escort. Northwest African Tactical Air Force (NATAF) Blenheims bomb La Sebala Airfield and A-20's hit Ksar Tyr and concentrations NE of Grich el Oued. Fighters fly escort and reconnaissance missions. Northwest African Coastal Air Force (NACAF) airplanes fly sea patrol and reconnaissance and attack shipping in the Strait of Sicily."
EVT_19430418_00150,1943-04-18,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,,,"B-25, SPITFIRE, P-40, B-24",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) Off Cap Bon, 46 P-40F's of the 57th Fighter Group's three squadrons (64th, 65th and 66th Fighter Squadrons) and the attached 314th Fighter Squadron, 324th Fighter Group, plus 11 Spitfires of the RAF 92 Squadron flying top cover, take off to patrol. At approximately 1800 hours, they spot 2 Bf 109's and an armada of 65 Ju 52/3m transports heading back to Sicily for more supplies. The transports are in three great vees, covered by 16 Bf 109's and Mc 202's and 5 Bf 110's. The 64th Fighter Squadron and the RAF Spitfires stay high; the remaining 3 squadrons of P-40's attack the Luftwaffe formation and down 24 Ju 53/3m's and 16 fighters; another 35 Ju 52/3m's crash along the coast. In Sicily, B-24's attack Catania. In Tunisia, P-40's fly sweeps, armored reconnaissance, escort, and fighter-bomber missions. B-25's hit landing grounds."
EVT_19430418_00151,1943-04-18,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Seventh Air Force,,Tunisia,,"WELLINGTON, P-38, BEAUFIGHTER, B-25, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia during the night of 17/18 Ap, RAF Wellingtons bomb the Tunis docks and marshaling yard. Northwest African Tactical Air Force (NATAF) Blenheims hit the La Marsa landing ground while fighter fly reconnaissance and scramble missions. Northwest African Coastal Air Force (NACAF) fighters fly reconnaissance and patrols, attacking vessels, troop columns, and truck in the Tunisian coastal area, In Sicily, over 75 B-17's, escorted by P-38's, attack Boccadifalco Airfield and the Palermo Marshaling Yard. In Sardinia, B-25's, escorted by P-38's, hit the Alghero-Fertilia Airfield and shipping at Porto Torres while Beaufighters attack the Decimomannu Airfield."
EVT_19430419_00156,1943-04-19,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,"P-40, B-25",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, B-25's hit landing grounds and defensive positions, and P-40's escort bombers and fly fighter sweeps as the British Eighth Army opens an assault on Enfidaville positions."
EVT_19430419_00157,1943-04-19,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NATAF,,Tunisia,,"B-25, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia during the night of 18/19 Apr, Northwest African Tactical Air Force (NATAF) Blenheims bomb La Marsa landing ground and roads nearby, and attack activity on beach at Reyville. During the day, Northwest African Strategic Air Force (NASAF) B-17's bomb shipping at Tunis. B-25's and A -20's raid the La Sebala Airfield. Fighter-bombers attack tanks in the battle area. Northwest African Coastal Air Force (NACAF) maintains sea reconnaissance and patrols as far as Sardinia and sea approaches to Naples. NAAF aircraft claim over 100 aircraft destroyed during the day."
EVT_19430420_00163,1943-04-20,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,P-40,0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, P-40's fly sweeps, reconnaissance, and fighter-bomber missions as British ground forces take Enfidaville E and push N. Forces on the left are checked by stubborn enemy resistance at Djebel Garci."
EVT_19430420_00164,1943-04-20,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"B-25, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, Northwest African Strategic Air Force (NASAF) B-17's and B-25's bomb the landing grounds of Mabtouha, La Marsa, La Sebala, Sidi Ahmed, Creteville, and near Protville. Northwest African Tactical Air Force (NATAF) fighters fly escort, carry out reconnaissance, and attack various Tunisian airfields. The Northwest African Coastal Air Force (NACAF) continues sea patrols and reconnaissance as far-reaching as the approaches to Naples, Italy."
EVT_19430421_00169,1943-04-21,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Eleventh Air Force,,Tunisia,,"P-39, A-20",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, weather prevents completion of any missions by the Northwest African Strategic Air Force (NASAF). Northwest African Tactical Air Force (NATAF) fighters and A-20's hit landing grounds and military traffic on roads, fly sweeps and armed reconnaissance, and attack ground forces and aircraft in the Medjez el Bab-Goubellat area where an enemy counterattack by armored and infantry columns during the night of 20/21 Apr ends in costly failure. The 346th and 347th Fighter Squadrons, 350th Fighter Group with P-39's swap bases; the 346th moves from La Senia, Algeria to Orleansville, Algeria; the 347th moves from Orleansville to Le Sers, Tunisia."
EVT_19430422_00172,1943-04-22,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,P-40,0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, P-40's fly fighter sweeps over the battle area along the Gulf of Hammamet."
EVT_19430422_00173,1943-04-22,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"B-26, A-20",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, Northwest African Strategic Air Force (NASAF) B-26's bomb 2 landing grounds near Protville. Northwest African Tactical Air Force (NATAF) fighters and A-20's fly sweeps, reconnaissance, and patrols and attack positions at Djebel el Ahmera (Longstop Ridge), Sidi Nsir, Djebel el Ajred (Bald Hill), and other points as the British First Army's 5 Corps launches the start of the final phase of the assault on Tunis and Bizerte, attacking on a front N and S of Medjez el Bab. In Italy, B-26's hit the harbor at Carloforte on San Pietro Island."
EVT_19430423_00180,1943-04-23,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,"P-40, B-25",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, B-25's attack a landing ground, troops, and artillery N of Enfidaville. P-40's fly escort, sweeps, and fighter-bomber missions in the battle area."
EVT_19430423_00181,1943-04-23,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"B-17, B-26, B-25, A-20",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, Northwest African Strategic Air Force (NASAF) B-25's and B-26's bomb vehicles and the railroad at Mateur, the Mateur-Bedja road and Arbatax harbor in Italy. Northwest African Tactical Air Force (NATAF) fighters, A-20's, and medium bombers carry out a large number of missions against positions in NE Tunisia and particularly along the battleline area from near Pont-du-Fahs N to the Mediterranean as the US II Corps begins a drive on Bizerte in the Jefna-Sidi Meftah area. In the Mediterranean, B-17's attack vessels N of Sicily."
EVT_19430424_00188,1943-04-24,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"WELLINGTON, P-40",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, Northwest African Strategic Air Force (NASAF) Wellingtons bomb the N quay at Bizerte harbor during the night of 23/24 Apr. Bad weather the following morning cancels NASAF operations. Northwest African Tactical Air Force (NATAF) fighters, although hampered by bad weather, attack guns, troops, and trucks in the battle area from Pont-du-Fahs N to the sea. Fierce ground fighting continues in the Jefna area. The 99th Fighter Squadron, Twelfth Air Force with P-40's arrives at Casablanca, French Morocco from the U.S. The 99th is the first black USAAF unit to serve overseas."
EVT_19430425_00192,1943-04-25,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,"P-40, B-25",0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, B-25's attack landings grounds, concentrations, and vehicles N and NW of Enfidaville. P-40's escort bombers and fly fighter sweeps over the battle area."
EVT_19430425_00193,1943-04-25,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"B-17, A-20",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, weather prevents Northwest African Strategic Air Force (NASAF) bombing missions. Northwest African Tactical Air Force (NATAF) fighters attack positions and vehicles in the battle area. A-20's and medium bombers bomb the S landing ground at Soliman, positions NW of Enfidaville, and several other points in the battle area as Allied ground forces continue their advance on Bizerte and Tunis. HQ 2d Bombardment Group (Heavy) and it's 20th, 49th, and 96th Bombardment Squadrons (Heavy) with B-17's arrive at Navarin, Algeria from the US. HQ 319th Bombardment Group (Medium) and it's 437, and 438th, 439th and 440th Bombardment Squadrons (Medium) with B-26B's transfer from Oujda, French Morocco to Rabat Sale, French Morocco. The group has been undergoing reorganization and training since Feb 43."
EVT_19430427_00198,1943-04-27,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,Ninth Air Force,,Tunisia,,P-40,0,0,0,"EASTERN MEDITERRANEAN (Ninth Air Force) In Tunisia, P-40's bomb and strafe concentrations N and NW of Enfidaville."
EVT_19430427_00199,1943-04-27,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Sardinia,,"A-20, P-38, B-25, B-17",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Sardinia, Northwest African Strategic Air Force (NASAF) B-17's, with P-38 escort, bomb Villacidro Airfield. In Tunisia, NASAF B-25's hit shipping W of Zembra Island off Cap Bon. Northwest African Tactical Air Force (NATAF) planes (fighters, A-20's, and medium bombers) hit numerous tactical targets in NE Tunisia, including Sidi Ahmed Airfield and troops, tank, trucks, and gun positions at Massicault, on the Pont-du-Fahs road, Ksar Tyr, Bir Meherga, and other points along the battleline. HQ 2d Bombardment Group (Heavy) and it's 20th, 49th and 96th Bombardment Squadrons (Heavy) with B-17's transfer from Navarin, Algeria to Chateaudun-du-Rhumel, Algeria. The Group's fourth squadron, the 429th Bombardment Squadron (Heavy), arrives at Chateaudun-du-Rhumel from the US today. The group will fly it's first combat mission tomorrow."
EVT_19430428_00205,1943-04-28,1943,4,MTO,MEDITERRANEAN THEATER OF OPERATIONS,NASAF,,Tunisia,,"B-26, P-38, B-25",0,0,0,"WESTERN MEDITERRANEAN (Northwest African Air Force) In Tunisia, Northwest African Strategic Air Force (NASAF) B-25's and P-38's attack 2 vessels off NE Tunisia in the Straits of Sicily. Other B-25's hit Tunis shipping while B-26's bomb the landing grounds at Mabouban and Mabtouha. Northwest African Tactical Air Force (NATAF) aircraft bomb concentrations near Saint-Cyprien and Ksar Tyr, shipping off Tunis, and numerous positions and vehicles along the Tunisian battleline and surrounding areas as the US 9th Infantry Division continues W astride the Sedjenane River and the 1st and 34th Infantry Divisions continue to face fierce opposition S of Jefna in Sidi Meftah area."
